epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,0.84337974,0.09117923,0.20324284,0.048499912,20.0,-2.7340248,0.0375,100.0,0.0275
1,0.84521335,0.09357182,0.20375144,0.051634144,40.0,-4.5167437,0.037500000000000006,200.0,0.037500000000000006
2,0.845494,0.09412861,0.20396847,0.05010632,60.0,-6.48249,0.037500000000000006,300.0,0.035
3,0.84607506,0.09424871,0.20411019,0.04941024,80.0,-8.141552,0.025,400.0,0.052500000000000005
4,0.8457392,0.09365908,0.20408203,0.05002648,100.0,-10.287407,0.025,500.0,0.0475
5,0.8455813,0.09479786,0.20409843,0.056339864,120.0,-11.765595,0.0,600.0,0.04
6,0.84601706,0.095741175,0.20417231,0.059296407,140.0,-13.149543,0.025,700.0,0.025
7,0.84606534,0.09607806,0.20434842,0.06069075,160.0,-13.482857,0.07500000000000001,800.0,0.05
8,0.8458608,0.09670925,0.20426859,0.06312502,180.0,-14.413717,0.0875,900.0,0.052500000000000005
9,0.8459904,0.09717658,0.2043348,0.06594469,200.0,-15.327082,0.07500000000000001,1000.0,0.07250000000000001
10,0.84646684,0.09769604,0.2044141,0.06871883,220.0,-15.617174,0.1125,1100.0,0.085
11,0.8466859,0.09757867,0.20467159,0.07153483,240.0,-15.651704,0.15000000000000002,1200.0,0.1225
12,0.84695935,0.09858906,0.20463602,0.0729585,260.0,-15.943258,0.1875,1300.0,0.11250000000000002
13,0.8471826,0.0985209,0.20444588,0.07485554,280.0,-15.44039,0.2,1400.0,0.11499999999999999
14,0.84743005,0.09815673,0.20448864,0.077168696,300.0,-15.839127,0.2,1500.0,0.1625
15,0.8472759,0.09831262,0.20437811,0.078948684,320.0,-15.092374,0.2875,1600.0,0.16249999999999998
16,0.8473056,0.09863346,0.20440885,0.08157259,340.0,-14.269108,0.3375,1700.0,0.2025
17,0.8470292,0.09928369,0.20432323,0.08426166,360.0,-14.676556,0.4,1800.0,0.2475
18,0.8468546,0.099829674,0.20430201,0.08623353,380.0,-14.20951,0.4125,1900.0,0.2375
19,0.84685165,0.10011528,0.20436694,0.08835693,400.0,-15.711744,0.325,2000.0,0.2975
20,0.84675217,0.100084744,0.20430773,0.090515345,420.0,-14.433788,0.4,2100.0,0.325
21,0.8467285,0.10058644,0.20415792,0.09195123,440.0,-13.819212,0.5,2200.0,0.35250000000000004
22,0.8467056,0.10056764,0.20418884,0.09324626,460.0,-12.8496,0.5125,2300.0,0.34750000000000003
23,0.8466936,0.10067693,0.20428465,0.09457555,480.0,-16.057465,0.3875,2400.0,0.3575
24,0.8465813,0.10074226,0.20437652,0.09579378,500.0,-12.236193,0.5750000000000001,2500.0,0.3675
25,0.84646773,0.10083565,0.2043677,0.09722428,520.0,-13.461966,0.5625,2600.0,0.3775
26,0.8465341,0.100901045,0.20432253,0.09819883,540.0,-17.744083,0.47500000000000003,2700.0,0.3775
27,0.8465166,0.100937545,0.20425354,0.099201344,560.0,-16.425407,0.5125,2800.0,0.4375
28,0.84662056,0.10086038,0.20428413,0.099764355,580.0,-13.35924,0.5875,2900.0,0.4525
29,0.8467278,0.10063928,0.20427908,0.10031935,600.0,-10.352009,0.7,3000.0,0.42000000000000004
30,0.84669757,0.10059149,0.20435835,0.10082984,620.0,-18.053959,0.475,3100.0,0.45
31,0.8466608,0.10060793,0.20441289,0.10130524,640.0,-16.847626,0.475,3200.0,0.47
32,0.8464833,0.10052354,0.20438015,0.101484135,660.0,-13.983509,0.5875,3300.0,0.46249999999999997
33,0.84657544,0.10034452,0.20444736,0.10163719,680.0,-15.189168,0.6375,3400.0,0.475
34,0.8465907,0.100252114,0.20451653,0.10195389,700.0,-13.532141,0.6499999999999999,3500.0,0.46499999999999997
