epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,0.839998,0.07109148,0.20176457,0.04231739,20.0,-2.5510888,0.1,100.0,0.042499999999999996
1,0.83852625,0.07077741,0.2012364,0.04169363,40.0,-4.82919,0.0125,200.0,0.0775
2,0.8384257,0.072025366,0.2010774,0.045254227,60.0,-6.469201,0.025,300.0,0.0575
3,0.83883363,0.072318755,0.20137747,0.045603372,80.0,-8.348168,0.05,400.0,0.065
4,0.83916503,0.07238517,0.20149054,0.048583217,100.0,-10.1385355,0.05,500.0,0.08
5,0.83896226,0.072285146,0.20140795,0.049021438,120.0,-11.527634,0.05,600.0,0.0675
6,0.8385463,0.07315487,0.20137076,0.051907204,140.0,-12.023257,0.125,700.0,0.06
7,0.8387454,0.073271506,0.20145507,0.051523697,160.0,-13.058937,0.1375,800.0,0.095
8,0.8387762,0.07412995,0.20139399,0.05324072,180.0,-14.415896,0.125,900.0,0.0975
9,0.8386328,0.07556253,0.20128837,0.05575466,200.0,-15.142581,0.15000000000000002,1000.0,0.135
10,0.8382495,0.07665953,0.20116015,0.058060113,220.0,-15.15234,0.17500000000000002,1100.0,0.1725
11,0.83814996,0.07670792,0.20114203,0.060032282,240.0,-14.501292,0.2375,1200.0,0.15250000000000002
12,0.8383629,0.07646034,0.20117965,0.06338794,260.0,-13.915446,0.275,1300.0,0.19
13,0.83848876,0.07640334,0.2012157,0.066672556,280.0,-12.229162,0.42500000000000004,1400.0,0.3175
14,0.838478,0.076462284,0.20147671,0.07129474,300.0,-9.355301,0.47500000000000003,1500.0,0.42500000000000004
15,0.8386242,0.0768813,0.20166937,0.07596644,320.0,-7.56595,0.6124999999999999,1600.0,0.5025000000000001
16,0.838603,0.07676663,0.20191117,0.08023137,340.0,-3.9627576,0.7125,1700.0,0.6275
17,0.83881545,0.07660028,0.20209299,0.082560875,360.0,-2.9844193,0.8125,1800.0,0.75
18,0.839026,0.07698201,0.20227602,0.08520177,380.0,-2.676792,0.825,1900.0,0.7725
19,0.83907604,0.076935485,0.20233092,0.087550856,400.0,-2.3829513,0.8999999999999999,2000.0,0.795
20,0.8390295,0.07674359,0.20248882,0.08953107,420.0,-1.6308587,0.9375,2100.0,0.8225
21,0.8390346,0.07702101,0.20252903,0.09146216,440.0,-2.056941,0.975,2200.0,0.8225
22,0.83892703,0.07675717,0.202399,0.093337186,460.0,-1.8900535,0.9375,2300.0,0.855
23,0.83891255,0.0765559,0.20230621,0.09468335,480.0,-1.42177,0.9624999999999999,2400.0,0.9
24,0.8388582,0.07642732,0.2023263,0.09635472,500.0,-1.3500576,0.9624999999999999,2500.0,0.8875
25,0.83877707,0.076670386,0.20232046,0.09761484,520.0,-1.3390512,0.9875,2600.0,0.8925000000000001
26,0.8387993,0.07649034,0.20223857,0.09847346,540.0,-1.5483994,1.0,2700.0,0.9149999999999999
27,0.8388106,0.0762225,0.20213433,0.09981894,560.0,-1.3036011,0.975,2800.0,0.9125000000000001
28,0.83881474,0.0759215,0.20215805,0.100338295,580.0,-1.5554242,0.9875,2900.0,0.9175
29,0.8387103,0.0757346,0.20206709,0.10114965,600.0,-1.8856702,0.9624999999999999,3000.0,0.9225
30,0.83872056,0.075679414,0.20212819,0.101729594,620.0,-1.0290016,1.0,3100.0,0.92
31,0.8386633,0.07557186,0.2020728,0.10261596,640.0,-1.3179727,1.0,3200.0,0.9424999999999999
32,0.83868617,0.07546094,0.20197679,0.103259325,660.0,-1.271278,0.9875,3300.0,0.9375
33,0.83867747,0.075220525,0.20186242,0.10367837,680.0,-0.96755874,0.9875,3400.0,0.9275
34,0.8387432,0.07507864,0.20182413,0.10416774,700.0,-1.1185133,0.9875,3500.0,0.935
35,0.83882475,0.07486698,0.201728,0.10452107,720.0,-1.1610218,0.975,3600.0,0.94
36,0.83888596,0.074714616,0.20169279,0.10484096,740.0,-1.0140237,1.0,3700.0,0.95
37,0.83880967,0.07452724,0.20163196,0.1050733,760.0,-1.319211,1.0,3800.0,0.9375
38,0.8387932,0.07438108,0.201591,0.105459735,780.0,-1.0821993,1.0,3900.0,0.935
39,0.8387589,0.0742166,0.20152958,0.10565935,800.0,-1.155586,0.9875,4000.0,0.9475
40,0.8386927,0.074048676,0.2014552,0.10578568,820.0,-1.012865,0.975,4100.0,0.945
41,0.8387466,0.07394687,0.20150194,0.10616758,840.0,-1.1175835,1.0,4200.0,0.925
42,0.83873826,0.07372529,0.20154186,0.10639184,860.0,-0.9943506,1.0,4300.0,0.9424999999999999
43,0.8387773,0.07361008,0.20155834,0.106364526,880.0,-1.1573049,1.0,4400.0,0.9450000000000001
44,0.8388169,0.07367911,0.20160614,0.1066569,900.0,-1.0471492,0.9875,4500.0,0.9299999999999999
45,0.83876705,0.073542975,0.20158467,0.107025325,920.0,-1.2256032,1.0,4600.0,0.935
46,0.8387535,0.07346248,0.20159681,0.10727147,940.0,-1.0990939,1.0,4700.0,0.9524999999999999
47,0.83879495,0.0733851,0.20161928,0.107430354,960.0,-1.1453451,0.9875,4800.0,0.9375
48,0.8387959,0.07334439,0.20166573,0.10759664,980.0,-0.96359575,1.0,4900.0,0.9575
49,0.8388672,0.073191814,0.20170492,0.107816346,1000.0,-1.0309892,1.0,5000.0,0.9524999999999999
