epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,0.7436233,0.118184395,0.1781613,0.056555666,20.0,-3.2069767,0.0,100.0,0.005
1,0.74429184,0.116711386,0.1774374,0.057367545,40.0,-5.2250195,0.0,200.0,0.0
2,0.7443618,0.1203896,0.17776543,0.05683737,60.0,-7.049343,0.0,300.0,0.0025
3,0.7450259,0.12067642,0.17779784,0.057288013,80.0,-9.043681,0.0,400.0,0.0
4,0.7458467,0.12573297,0.17799416,0.058969077,100.0,-10.647095,0.0125,500.0,0.0075
5,0.74543077,0.13061984,0.1780737,0.061525673,120.0,-12.593231,0.0,600.0,0.0125
6,0.74644184,0.13592911,0.17827359,0.064318195,140.0,-13.8939,0.0,700.0,0.015
7,0.7479325,0.14052893,0.17842527,0.06651254,160.0,-13.624285,0.0125,800.0,0.0075
8,0.7490062,0.14592531,0.17872597,0.06910965,180.0,-15.613094,0.0875,900.0,0.0225
9,0.7514425,0.14893185,0.17926008,0.07059053,200.0,-16.274342,0.037500000000000006,1000.0,0.03
10,0.7537313,0.15218902,0.17954297,0.07279448,220.0,-17.281063,0.0125,1100.0,0.0325
11,0.7555282,0.15726095,0.1798719,0.075280264,240.0,-16.36223,0.0625,1200.0,0.035
12,0.7578432,0.16112666,0.1804255,0.07783404,260.0,-16.734299,0.05,1300.0,0.042499999999999996
13,0.76044583,0.16408919,0.18101002,0.07981625,280.0,-16.490772,0.0625,1400.0,0.04000000000000001
14,0.76393586,0.16747938,0.18157434,0.082014896,300.0,-13.979361,0.2,1500.0,0.05500000000000001
15,0.76729816,0.1709048,0.18221456,0.084561676,320.0,-12.485237,0.2375,1600.0,0.085
16,0.76981133,0.17333364,0.18251656,0.08590692,340.0,-13.032956,0.2625,1700.0,0.0925
17,0.7729401,0.17479004,0.18286385,0.08729668,360.0,-13.846388,0.23750000000000002,1800.0,0.095
18,0.7755508,0.17583741,0.18327807,0.08800853,380.0,-12.459789,0.3875,1900.0,0.1275
19,0.7770791,0.17603241,0.18353774,0.08833671,400.0,-13.322559,0.25,2000.0,0.1275
20,0.7790274,0.17601438,0.18381548,0.08875781,420.0,-14.590397,0.275,2100.0,0.0925
21,0.7810748,0.17560196,0.18419105,0.0893089,440.0,-15.538611,0.2875,2200.0,0.1125
22,0.78276366,0.17634998,0.18448405,0.090158075,460.0,-15.025766,0.22499999999999998,2300.0,0.1175
23,0.7847519,0.17682786,0.18488692,0.09085065,480.0,-14.564446,0.2875,2400.0,0.12
24,0.7864292,0.1774491,0.1852278,0.09195218,500.0,-13.675251,0.375,2500.0,0.16499999999999998
25,0.78784585,0.17759185,0.1855782,0.09248183,520.0,-16.03196,0.30000000000000004,2600.0,0.125
26,0.789068,0.1777726,0.18580364,0.09288318,540.0,-14.342278,0.4375,2700.0,0.1775
27,0.7903474,0.17783569,0.18603985,0.09335843,560.0,-15.256174,0.3625,2800.0,0.15
28,0.79140615,0.17807178,0.18625961,0.09432191,580.0,-12.338717,0.36250000000000004,2900.0,0.1475
29,0.79244345,0.17833638,0.18643993,0.094881535,600.0,-13.854158,0.4,3000.0,0.1525
30,0.7932593,0.17832969,0.18653367,0.09554266,620.0,-13.999122,0.3125,3100.0,0.12
31,0.79431766,0.17866679,0.18670069,0.096219376,640.0,-10.998842,0.4875,3200.0,0.15500000000000003
32,0.7947102,0.17908101,0.18683985,0.09692535,660.0,-15.289751,0.3125,3300.0,0.155
33,0.7953184,0.17932244,0.18700396,0.09751163,680.0,-13.543653,0.375,3400.0,0.1225
34,0.79579383,0.17940284,0.18712169,0.09792516,700.0,-12.6206455,0.38749999999999996,3500.0,0.1575
35,0.7964182,0.17977524,0.18727802,0.09853268,720.0,-15.572221,0.35000000000000003,3600.0,0.0975
36,0.79692286,0.17973167,0.18736696,0.098757945,740.0,-15.663351,0.3625,3700.0,0.1775
37,0.79716295,0.17993434,0.18740076,0.09911225,760.0,-13.613845,0.375,3800.0,0.18
38,0.7979047,0.17993306,0.18758318,0.09927483,780.0,-12.484073,0.45,3900.0,0.16999999999999998
39,0.7983031,0.18014693,0.18768306,0.09964429,800.0,-12.953667,0.46249999999999997,4000.0,0.1425
40,0.79893976,0.1801663,0.18778749,0.099781945,820.0,-11.349443,0.4875,4100.0,0.1975
41,0.79945976,0.18037598,0.18795447,0.0999812,840.0,-13.484192,0.4375,4200.0,0.15250000000000002
42,0.8000421,0.18040685,0.18811898,0.10026271,860.0,-13.229805,0.36250000000000004,4300.0,0.185
43,0.8003602,0.18047,0.1881961,0.100482225,880.0,-12.517841,0.475,4400.0,0.15000000000000002
44,0.80088425,0.18031245,0.18834092,0.1006389,900.0,-12.263927,0.4625,4500.0,0.1675
45,0.80138063,0.18019919,0.18849978,0.100733995,920.0,-12.615987,0.5125,4600.0,0.16499999999999998
46,0.80184144,0.1803632,0.1885728,0.10094216,940.0,-11.329154,0.5375000000000001,4700.0,0.17250000000000001
47,0.8023185,0.18054064,0.18867835,0.101322144,960.0,-10.30344,0.5249999999999999,4800.0,0.185
48,0.8030553,0.18063681,0.1888391,0.10166762,980.0,-10.5535965,0.5125,4900.0,0.16999999999999998
49,0.8034797,0.18049477,0.1889416,0.10180535,1000.0,-12.60325,0.425,5000.0,0.16749999999999998
